# rank phase subagent_id
1 analyze 67ab58e8-7911-4ec2-ae76-1907918e024a
2 analyze 85aaa5b2-7100-422b-91d0-b69f353b9c19
3 analyze dd05d1ab-23d4-46be-9d18-e1cc9d59a275
4 analyze 45f0e919-f28c-4481-b6a9-a7a1235cc309
5 analyze b404dfbd-2493-4057-934a-709434f6be64
6 analyze 732957d9-b9bd-4355-9dd5-c69b87f05f71
7 analyze 15c8d6cb-a36f-42ed-aefa-0b2e357f3d20
8 analyze d97c43fe-6012-4ace-98a7-f4138f99f037
1 fix 5f431cf5-74a4-4309-858f-84b24e44f087
2 fix 31754d34-47cc-43b7-9710-996fc944fce5
3 fix 06b56532-66f3-46e8-8270-e0b8924a7677
7 fix 98d6f783-91a4-40f4-a5d5-b6b650deaeb7
9 analyze 7e89c1a9-295b-4a1d-874b-70dafc281a84
10 analyze 3c82fc28-bbd6-4858-aa40-71beeabdff50
11 analyze a0409800-cdeb-4190-ad04-193a3126bb88
12 analyze 7c6c01c1-19c4-4079-93db-a077dec4b0cb
11 fix 7ddd4686-b641-4863-944f-e14204d0391c
12 fix 1c4ea6c4-5adc-41ee-bd01-295d949117a9
13 fix 236851bf-ecd8-4975-a7a2-eab8ff4d82e0
14 fix 4bea6124-d606-4904-90c0-c6fd212620b8
9 analyze2 86f01f9c-6282-4b70-9dad-b499a93090f0
10 analyze2 6b3cbb93-fb24-43c4-b1b6-b91f3274bbbf
15 analyze cbc9c98a-6a9f-43fd-a82a-529f70010e65
16 analyze 23e11861-8b1e-4f05-ac41-8a9ddbd67aa0
9 fix 38532037-86d1-4535-8018-31264f3f5dd6
10 fix fb612a96-b295-48bb-8054-1969de5d2a6f
15 fix 230074ed-f7f2-4a98-9b6c-b7e5e8925152
16 fix c8e67c77-624f-4964-b83f-d35141665a49
17 analyze 0f33c598-4f42-4496-8f5c-d546c201570d
18 analyze 2b60171e-4a80-459e-b1bd-65839e2a3461
19 analyze 2b1387a8-53dc-48ac-bb61-d0e2592ae8ba
20 analyze 55e16a13-4c99-421b-9e67-52ab3264725f
14 fix2 7aea04bb-116d-425a-ac5d-24a3eeac2066
17 fix 38ceebc7-7e2f-455d-8004-391be3f4d4a8
18 fix aeca849c-b02e-4315-a62c-6c31af2da7e0
20 fix 76005e52-448c-4130-9d27-5385b4123bfb
10 fix2 2d5c2911-292b-4e17-bfa4-9e7aaafe15ae
19 fix d4679409-ee32-498d-be56-2e41ff1b72ad
21 analyze df8e5832-2e4a-4526-96d2-bc1a29bf296c
22 analyze 87eed3f7-894f-44f0-bad3-9dc825f64d39
23 analyze 6c2b751c-e16a-4b4f-a132-57145acb35c9
24 analyze cf27571e-8ab5-4214-9b05-2da72ca1131a
21 fix 5e17af75-151d-474f-bd68-ce1ea0ee90ef
22 fix d6ac6325-38bc-4658-ad4f-f819fbf05f55
23 fix 9c015e60-73ba-473b-9dfe-f10e31c4ec9e
24 fix ab974d3d-69e7-42dd-bb28-a51795ceba92
25 analyze 08df7c87-59da-4df0-a457-ddd678ceebc9
26 analyze 05d7dc9d-dce7-45b8-8f4e-dd3811aac652
27 analyze ce3586aa-7c93-46d2-8e7e-7f9ae3a55d8d
28 analyze c37e473c-10cd-449c-951a-8c3cb48f4c5c
25 fix 9a22ff75-386a-4ed2-b75f-217b0ce0a764
26 fix 19e97895-cc37-4d28-939c-805e6f341536
27 fix e23523e7-3759-4af9-910f-d34b8d28d44d
28 fix 8e24be5a-db2b-4ca4-9469-6ff3de8ebd3a
29 analyze 5ce9b81f-f1aa-437d-a1fb-e7272483ac99
30 analyze 6c31cbcd-e660-4e3d-bc9d-a43f3cbe583b
31 analyze 11cefea2-affd-4f17-92e7-877f5e25fc26
32 analyze 8d943fef-c6e3-4d19-bd82-e391c3f86161
29 fix 4a954d64-1f89-47e9-b899-0dca490ddffa
30 fix c4a6118f-cc22-475d-9ecb-ccdbbac761ad
31 fix f3dc72bd-3fca-4b59-a3b8-63b2692886cf
32 fix 02d6f32c-ae2d-451e-bd0d-dd3e977e6da3
33 analyze 9badf636-1c18-4507-a514-e4235ce4f3c2
34 analyze f87245ae-3f76-41d0-bbfb-5ac35c953634
35 analyze baddca40-b2b2-47b7-b433-382688b8dac2
36 analyze 3ec08310-25bd-4133-b47b-eb97710141f3
33 fix 1637b003-adf1-42a2-9bea-6af0d0de43dc
34 fix 147eab38-8b95-4259-819c-a52cce29e583
35 fix 57743c3a-21d0-4cef-a310-f9f16531d38b
36 fix 9024998c-68cc-499e-94a8-5c5d7084745e
37 analyze 7c87abbf-1a33-43bd-97c2-8dba59ede76b
38 analyze 4fdabc33-31d6-4260-bab1-205348e51611
